"taskID","transcription","valid","comments","userID","inputBy","track","automatedTranscription","sort","sortTwo"
"91764","This wooden face dates back to about 1500 to 1100 BC, in other words it's more than 3000 years old","no","","   1","Daniel Pett; Giulia Gambino; Melissa Kelland","  Nile-001_Chunk_0.mp3","this wooden face dates back to about 1500 to 1100 BC in other words it's more than 3000 years old","0",""
"91764","","yes","","2059","Daniel Pett; Giulia Gambino; Melissa Kelland","  Nile-001_Chunk_0.mp3","this wooden face dates back to about 1500 to 1100 BC in other words it's more than 3000 years old","0",""
"91764","","yes","","2058","Daniel Pett; Giulia Gambino; Melissa Kelland","  Nile-001_Chunk_0.mp3","this wooden face dates back to about 1500 to 1100 BC in other words it's more than 3000 years old","0",""
,,,,,,,,,
,,,,,,,,,
"91765","like so many objects from Ancient Egypt it's associated with death because it was originally attached to the front of a coffin; at the top","no","","2059","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_1.mp3","like so many objects from ancient Egypt it's associated with death because it was originally attached to the front of a coffin at the top","1",""
"91765","","yes","","2072","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_1.mp3","like so many objects from ancient Egypt it's associated with death because it was originally attached to the front of a coffin at the top","1",""
"91765","","yes","","2058","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_1.mp3","like so many objects from ancient Egypt it's associated with death because it was originally attached to the front of a coffin at the top","1",""
,,,,,,,,,
,,,,,,,,,
"91766","and the religious beliefs that affected their preparations for Death. So, as well as appreciating the beauty of an object like this face","no","","2072","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_10.mp3","and the religious beliefs that affected their preparations for Death so as well as appreciating the beauty of an object like this space","10",""
"91766","and the religious beliefs that affected their preparations for Death so as well as appreciating the beauty of an object like this face, you will know","no","","2059","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_10.mp3","and the religious beliefs that affected their preparations for Death so as well as appreciating the beauty of an object like this space","10",""
"91766","space should be face. ","yes","","2058","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_10.mp3","and the religious beliefs that affected their preparations for Death so as well as appreciating the beauty of an object like this space","10",""
,,,,,,,,,
,,,,,,,,,
"91767","why it was made the way it was ","no","","2058","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_11.mp3","it was me the way it was","11",""
"91767","why it was made the way it was","no","","2072","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_11.mp3","it was me the way it was","11",""
"91767","why it was made the way it was","no","","2059","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_11.mp3","it was me the way it was","11",""
,,,,,,,,,
,,,,,,,,,
"91768","is a piece of wood which we call a tenon. This was used to fasten the face to the Coffin. Although in its current state we see the beautiful wood","no","","2072","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_2.mp3","is a piece of wood which we call a tenon this was used to fasten the face to the Coffin although in its current state we see the beautiful","2",""
"91768","","yes","","2058","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_2.mp3","is a piece of wood which we call a tenon this was used to fasten the face to the Coffin although in its current state we see the beautiful","2",""
"91768","is a piece of wood which we call a tenon this was used to fasten the face to the coffin although in its current state we see the beautiful wood","no","","2059","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_2.mp3","is a piece of wood which we call a tenon this was used to fasten the face to the Coffin although in its current state we see the beautiful","2",""
,,,,,,,,,
,,,,,,,,,
"91769","the Faces made from it would originally have been brightly painted objects like these are stunning works of art and they show us how Ancient Egyptians","yes","","2059","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_3.mp3","the Faces made from it would originally have been brightly painted objects like these are stunning work the park and they show us how Nations","3",""
"91769","the faces made from it would originally have been brightly painted. 
Objects like these are stunning work art, and they show us how an ancient Egyptian","no","","2072","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_3.mp3","the Faces made from it would originally have been brightly painted objects like these are stunning work the park and they show us how Nations","3",""
"91769","The faces made from it would originally have been brightly painted objects these are stunning works of art and they show us how an Ancient Egyptian ","no","","2058","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_3.mp3","the Faces made from it would originally have been brightly painted objects like these are stunning work the park and they show us how Nations","3",""
,,,,,,,,,
,,,,,,,,,
"91770","person wants to be remembered after death they also reveal the incredible skill of the crafts man who made them on this face for example the inlaid eyes ","no","","2058","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_4.mp3","person wants to be remembered after death they also reveal the incredible skill of the cross when you made them on this face for example the inlaid","4",""
"91770","person wants to be remembered after death. They also reveal the incredible skill of the craftsman who made them. On this face for example, the inlaid eyes","no","","2072","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_4.mp3","person wants to be remembered after death they also reveal the incredible skill of the cross when you made them on this face for example the inlaid","4",""
"91770","person wants to be remembered after death; they also reveal the incredible skill of the [cross when you made them] on this face, for example, the inlaid eyes","yes","It has to be a specific Ancient Egypt's artistic skill.","2059","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_4.mp3","person wants to be remembered after death they also reveal the incredible skill of the cross when you made them on this face for example the inlaid","4",""
,,,,,,,,,
,,,,,,,,,
"91771"," and eyebrows were held in place by an adhesive which we have been able to identify as the type of gum mixed with Egyptian Blue this is a blue colour manufactured by the","yes","","2059","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_5.mp3","and eyebrows were held in place by an adhesive which we have been able to identify the type of gun mixed with Egyptian blue this is a blue colour manufactured by the","5",""
"91771","and eyebrows were held in place by an adhesive, which we have been able to identify as a type of gum mixed with Egyptian blue. This is a blue colour manufactured by the Egyptian","no","","2072","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_5.mp3","and eyebrows were held in place by an adhesive which we have been able to identify the type of gun mixed with Egyptian blue this is a blue colour manufactured by the","5",""
"91771","and eyebrows were held in place by an adhesive which we have been able to identify as a type of gum mixed with Egyptian blue this is a blue colour manufactured by the Egyptian ","no","","2058","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_5.mp3","and eyebrows were held in place by an adhesive which we have been able to identify the type of gun mixed with Egyptian blue this is a blue colour manufactured by the","5",""
,,,,,,,,,
,,,,,,,,,
"91772","to do this they mixed copper minerals or scrap metal from copper and bronze working, with powdered limestone, sand, and an alkaline material such as [?]","yes","Another technical word, maybe from chemistry.","2059","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_6.mp3","to do this is a mixed copper minerals or scrap metal from copper and bronze working with powdered limestone sand and an alkaline material such as play","6",""
"91772","to do this is a mixed copper minerals or scrap metal from copper and bronze working with powdered limestone, sand, and an alkaline material such as plant ash","no","","2072","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_6.mp3","to do this is a mixed copper minerals or scrap metal from copper and bronze working with powdered limestone sand and an alkaline material such as play","6",""
"91772","to do this they mixed copper minerals or scrap metal from copper and bronze working with powdered limestone sand and an alkaline material such as plant ash  ","no","","2058","Giulia Gambino; Melissa Kelland; Aditi","  Nile-001_Chunk_6.mp3","to do this is a mixed copper minerals or scrap metal from copper and bronze working with powdered limestone sand and an alkaline material such as play","6",""
,,,,,,,,,
,,,,,,,,,
